Name,Links,Cost,Collections,Cuisines,Timings,num_cuisines,num_collections,avg_rating,rating_std,avg_pictures,avg_reviewer_followers,has_reviews,cost_bucket,cluster,cluster_label,pca_1,pca_2,cluster_label_ordered
Jonathan's Kitchen - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/jonathans-kitchen-holiday-inn-express-suites-gachibowli,1900.0,"Great Italian, Sunday Brunches","North Indian, Japanese, Italian, Salad, Sushi","11:30 AM to 3 PM, 7 PM to 11 PM",5,2,3.535,1.4271094611631634,1.63,275.4591836734694,1,Premium,0,Mid-Premium / Photogenic,-1.9638385292043385,1.9411108674643167,Mid-Premium / Photogenic
B-Dubs,https://www.zomato.com/hyderabad/b-dubs-gachibowli,1600.0,Hyderabad's Hottest,American,"11am to 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am to 12midnight (Fri-Sat)",1,1,4.81,0.6145541210314739,0.16,48.77777777777778,1,Premium,2,Premium & Curated,-2.514814431940751,-3.528360218656136,Premium & Curated
Amul,https://www.zomato.com/hyderabad/amul-gachibowli,150.0,,"Ice Cream, Desserts",10 AM to 5 AM,2,0,3.94,1.5163752633810468,0.13,97.33333333333333,1,Budget,1,Budget Everyday,1.394594079290455,-1.151596018805578,Budget Everyday
SKYHY,https://www.zomato.com/hyderabad/skyhy-gachibowli,1400.0,"Live Sports Screenings, Gigs and Events","North Indian, Chinese, Continental","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",3,2,3.37,1.4815702835338276,0.57,82.45833333333333,1,Premium,0,Mid-Premium / Photogenic,-0.29843663740570187,0.7943476265195022,Mid-Premium / Photogenic
Tiki Shack,https://www.zomato.com/hyderabad/tiki-shack-gachibowli,1000.0,,Continental,"12Noon to 11PM (Mon-Thu),12Noon to 11:30PM (Fri-Sun)",1,0,3.48,1.4247452368402536,0.7,206.10227272727272,1,Upper-Mid,1,Budget Everyday,0.8723204867113777,-1.0351470447209066,Budget Everyday
Mustang Terrace Lounge,https://www.zomato.com/hyderabad/mustang-terrace-lounge-gachibowli,1300.0,"Rooftops, Live Sports Screenings, Best Bars & Pubs","Mexican, Italian, North Indian, Chinese, Salad","12 Noon to 11:30 PM (Mon-Wed), 12 Noon to 1 AM (Fri-Sat), 12 Noon to 12 Midnight (Sun), Thu Closed",5,3,3.31,1.5615001851690022,0.42,63.34090909090909,1,Premium,0,Mid-Premium / Photogenic,-0.7180183978551443,2.229006819839558,Mid-Premium / Photogenic
"3B's - Buddies, Bar & Barbecue",https://www.zomato.com/hyderabad/3bs-buddies-bar-barbecue-gachibowli,1100.0,"Barbecue & Grill, Live Sports Screenings","North Indian, Mediterranean, European","12 Noon to 4 PM, 6:30 PM to 11:30 PM",3,2,4.76,0.8302366706505617,0.13,17.278350515463917,1,Upper-Mid,2,Premium & Curated,-2.366626375779758,-1.9582356230651796,Premium & Curated
Behrouz Biryani,https://www.zomato.com/hyderabad/behrouz-biryani-gachibowli,600.0,,"Mughlai, Biryani",10 AM to 1 AM,2,0,2.825,1.6702612751521029,0.36,131.5125,1,Mid,1,Budget Everyday,2.2112652964598127,0.403067572486334,Budget Everyday
Hunger Maggi Point,https://www.zomato.com/hyderabad/hunger-maggi-point-gachibowli,200.0,,Fast Food,4:30 PM to 5:30 AM,1,0,3.12,1.5781334070683157,0.3,119.85555555555555,1,Budget,1,Budget Everyday,2.406459899319859,-0.7318770335934903,Budget Everyday
Pot Pourri,https://www.zomato.com/hyderabad/pot-pourri-gachibowli,900.0,,"Andhra, South Indian, North Indian",,3,0,3.32,1.3624102231565993,0.76,128.51190476190476,1,Upper-Mid,1,Budget Everyday,0.4700805190314529,0.039737405984716576,Budget Everyday
Pista House,https://www.zomato.com/hyderabad/pista-house-2-gachibowli,1000.0,Haleem,"Bakery, North Indian, Mughlai, Juices, Chinese",11 AM to 12 Midnight,5,1,3.23,1.448475339134501,1.46,573.7977528089888,1,Upper-Mid,0,Mid-Premium / Photogenic,-0.4530570864137517,1.725013231676321,Mid-Premium / Photogenic
